customer_id,credit_card_number,credit_limit,credit_score,annual_income,employment_status,loan_amount,loan_purpose,loan_term,interest_rate,Debt_to_Income,Missed_Payments,Loan_Default_History,Credit_History_Years
1,4917964833361141,49334.29,462,222916.51,error: undefined method `first' for nil:NilClass,189011.95,error: undefined method `first' for nil:NilClass,76,13.03,0.477,17,true,27.6
2,3551259247170862,25986.12,564,372506.15,error: undefined method `first' for nil:NilClass,145891.69,error: undefined method `first' for nil:NilClass,69,9.5,0.245,17,false,4.2
3,5602233977718160,37964.44,489,479965.18,error: undefined method `first' for nil:NilClass,100010.25,error: undefined method `first' for nil:NilClass,67,35.44,0.069,9,true,25.9
4,63040947320395710,31255.79,461,163631.24,error: undefined method `first' for nil:NilClass,29536.26,error: undefined method `first' for nil:NilClass,9,20.59,0.738,20,true,31.7
5,560223362025186691,27869.63,522,71846.72,error: undefined method `first' for nil:NilClass,18436.47,error: undefined method `first' for nil:NilClass,8,34.45,0.767,5,false,30.8
6,30556843583787,35105.21,501,249971.56,error: undefined method `first' for nil:NilClass,81368.58,error: undefined method `first' for nil:NilClass,73,20.29,0.164,23,true,4.5
7,5602258499048939301,27993.0,351,383181.58,error: undefined method `first' for nil:NilClass,55442.04,error: undefined method `first' for nil:NilClass,61,14.82,0.879,3,false,8.0
8,3528492667132134,41126.07,744,253446.12,error: undefined method `first' for nil:NilClass,157817.99,error: undefined method `first' for nil:NilClass,23,35.38,0.911,18,true,18.0
9,6385434060282954,10590.32,535,145786.37,error: undefined method `first' for nil:NilClass,88047.39,error: undefined method `first' for nil:NilClass,74,1.43,0.689,9,true,29.0
10,5010123927822657,47151.06,766,474692.43,error: undefined method `first' for nil:NilClass,189721.64,error: undefined method `first' for nil:NilClass,32,22.17,0.728,10,false,17.4
11,6762620527517346,35724.51,638,278667.74,error: undefined method `first' for nil:NilClass,132513.59,error: undefined method `first' for nil:NilClass,47,4.24,0.004,1,false,35.1
12,6390357688126126,556.91,605,66861.87,error: undefined method `first' for nil:NilClass,60124.94,error: undefined method `first' for nil:NilClass,25,15.23,0.864,9,false,35.0
13,201651324087250,2774.61,634,112811.72,error: undefined method `first' for nil:NilClass,34007.96,error: undefined method `first' for nil:NilClass,9,27.4,0.219,21,false,10.2
14,5202196670461038,27439.19,444,315275.01,error: undefined method `first' for nil:NilClass,22836.1,error: undefined method `first' for nil:NilClass,69,23.24,0.635,2,false,17.2
